SetSize	MotionPresent	GroupMotion	Accuracy	TargetPresent	GroupCount	mean_RTms	Acc
1	Motion	none	0	0	2	822	12.5
1	Motion	none	0	1	0	NaN	0
1	Motion	none	1	0	14	890.428571428571	87.5
1	Motion	none	1	1	16	774.6875	100
3	Motion	none	0	0	3	937	18.75
3	Motion	none	0	1	2	1273	12.5
3	Motion	none	1	0	13	904.846153846154	81.25
3	Motion	none	1	1	14	915.857142857143	87.5
5	Motion	none	0	0	3	1031	18.75
5	Motion	none	0	1	1	962	6.25
5	Motion	none	1	0	13	1005.15384615385	81.25
5	Motion	none	1	1	15	834.933333333333	93.75
7	Motion	none	0	0	0	NaN	0
7	Motion	none	0	1	4	1247.25	25
7	Motion	none	1	0	16	1018.625	100
7	Motion	none	1	1	12	892.583333333333	75
9	Motion	none	0	0	0	NaN	0
9	Motion	none	0	1	1	1050	6.25
9	Motion	none	1	0	16	1071.75	100
9	Motion	none	1	1	15	979.8	93.75
11	Motion	none	0	0	1	589	6.25
11	Motion	none	0	1	0	NaN	0
11	Motion	none	1	0	15	1166.26666666667	93.75
11	Motion	none	1	1	16	1150.0625	100
